index,price
266,335000.0
267,410000.0
268,340000.0
269,345000.0
270,365000.0
271,330000.0
272,320000.0
273,370000.0
274,408000.0
275,430000.0
276,460000.0
277,475000.0
278,405000.0
279,442000.0
280,520000.0
281,425000.0
282,540000.0
283,512000.0
284,506800.0
285,555000.0
286,570000.0
287,415000.0
288,405000.0
289,620000.0
290,475000.0
291,565000.0
292,592000.0
293,495000.0
294,670000.0
295,890000.0
296,876888.0
297,250000.0
298,428000.0
299,470000.0
300,360000.0
301,455000.0
302,400000.0
303,685000.0
304,818000.0
305,903000.0
306,788000.0
307,1108000.0
308,285000.0
309,293000.0
310,273000.0
311,425000.0
312,412888.0
313,358000.0
314,318000.0
315,358000.0
316,330000.0
317,316000.0
318,375000.0
319,350000.0
320,353000.0
321,370000.0
322,340000.0
323,325000.0
324,345000.0
325,420000.0
326,443000.0
327,345000.0
328,420000.0
329,343000.0
330,360000.0
331,380000.0
332,345000.0
333,325000.0
334,316000.0
335,435000.0
336,430000.0
337,380000.0
338,390000.0
339,418000.0
340,385000.0
341,400000.0
342,400000.0
343,522000.0
344,408000.0
345,500000.0
346,520000.0
347,560000.0
348,512800.0
349,554000.0
350,575000.0
351,528000.0
352,365000.0
353,355000.0
354,415000.0
355,430000.0
356,370000.0
357,326000.0
358,425000.0
359,348000.0
360,335000.0
361,345000.0
362,290000.0
363,270000.0
364,263800.0
365,280000.0
366,368000.0
367,548000.0
368,620000.0
369,575000.0
370,488000.0
371,552000.0
372,440000.0
373,425000.0
374,461000.0
375,397000.0
376,385000.0
377,618000.0
378,560000.0
379,220000.0
380,205000.0
381,215000.0
382,272000.0
383,262000.0
384,230000.0
385,235000.0
386,260000.0
387,255000.0
388,263000.0
389,269000.0
390,280000.0
391,238000.0
392,338000.0
393,459888.0
394,275000.0
395,390000.0
396,368000.0
397,328000.0
398,256000.0
399,330000.0
400,320000.0
401,512500.0
402,515000.0
403,566000.0
404,455000.0
405,485000.0
406,420000.0
407,355000.0
408,830000.0
409,770000.0
410,680000.0
411,252000.0
412,270000.0
413,269000.0
414,305000.0
415,260000.0
416,285000.0
417,309888.0
418,292000.0
419,308000.0
420,275000.0
421,290000.0
422,268000.0
423,280000.0
424,316500.0
425,290000.0
426,292000.0
427,380000.0
428,431000.0
429,433000.0
430,358000.0
431,357000.0
432,353000.0
433,338000.0
434,390000.0
435,320000.0
436,350000.0
437,430000.0
438,430000.0
439,398000.0
440,335000.0
441,360000.0
442,418000.0
443,510000.0
444,420000.0
445,442500.0
446,420000.0
447,403000.0
448,438000.0
449,390000.0
450,457000.0
451,450000.0
452,425000.0
453,520000.0
454,495000.0
455,675000.0
456,465000.0
457,480000.0
458,605000.0
459,633000.0
460,459888.0
461,450000.0
462,402800.0
463,481000.0
464,420000.0
465,420000.0
466,455000.0
467,485000.0
468,450000.0
469,470000.0
470,420000.0
471,585000.0
472,650000.0
473,692000.0
474,608888.0
475,605000.0
476,575000.0
477,336000.0
478,290000.0
479,330000.0
480,313000.0
481,302000.0
482,265000.0
483,330000.0
484,308888.0
485,260000.0
486,290000.0
487,257500.0
488,300000.0
489,250000.0
490,270000.0
491,295000.0
492,250000.0
493,426000.0
494,395000.0
495,520000.0
496,450000.0
497,420000.0
498,390000.0
499,362000.0
500,450000.0
501,475000.0
502,507000.0
503,398000.0
504,490000.0
505,470000.0
506,525000.0
507,625000.0
508,450000.0
509,538000.0
510,518888.0
511,500000.0
512,240000.0
513,258000.0
514,240000.0
515,245000.0
516,251000.0
517,279000.0
518,265000.0
519,240000.0
520,269000.0
521,310000.0
522,320000.0
523,295000.0
524,355000.0
525,305000.0
526,290000.0
527,315000.0
528,280000.0
529,275000.0
530,268000.0
531,275000.0
532,275000.0
533,245000.0
534,380000.0
535,423000.0
536,375000.0
537,388000.0
538,345000.0
539,382000.0
540,348000.0
541,445000.0
542,418000.0
543,340000.0
544,440000.0
545,380000.0
546,368888.0
547,360000.0
548,392000.0
549,432000.0
550,428000.0
551,428000.0
552,415000.0
553,398000.0
554,435000.0
555,433000.0
556,429000.0
557,398000.0
558,435000.0
559,438000.0
560,433800.0
561,420000.0
562,422000.0
563,410000.0
564,378000.0
565,343000.0
566,362000.0
567,350000.0
568,340000.0
569,368000.0
570,355000.0
571,342500.0
572,310000.0
573,346500.0
574,355000.0
575,350000.0
576,338000.0
577,360000.0
578,350000.0
579,345000.0
580,400000.0
581,446000.0
582,413000.0
583,470000.0
584,352000.0
585,365000.0
586,330000.0
587,458000.0
588,410000.0
589,410000.0
590,362000.0
591,460000.0
592,615000.0
593,500000.0
594,480000.0
595,505000.0
596,470000.0
597,466000.0
598,550000.0
599,436888.0
600,500000.0
601,504000.0
